candidate_id,transport,policy,target_qps,sleep_us,source_indices,repeat_count,repeat_gate_consistent,tps,tps_min,tps_max,tp99_us,tp99_us_min,tp99_us_max,tp999_us,total_cpu_pct,total_cpu_pct_min,total_cpu_pct_max,used_cores,used_cores_min,used_cores_max,attainment_pct,attainment_pct_min,attainment_pct_max,target_sustained,is_pareto,partial
gqm:77000:B0/256 duplicate:1000,GQM,B0/256 duplicate,77000,1000,29;44,2,True,76900.0,76900.0,76900.0,2120.0,2110.0,2130.0,2465.0,389.09999999999997,386.9,391.29999999999995,3.8909999999999996,3.8689999999999998,3.9129999999999994,99.87012987012987,99.87012987012987,99.87012987012987,True,False,False
gqm:77000:B0/256 duplicate:10000,GQM,B0/256 duplicate,77000,10000,30;45,2,True,14950.0,13500.0,16400.0,15995.0,11400.0,20590.0,20710.0,67.75,65.7,69.80000000000001,0.6775,0.657,0.6980000000000001,19.415584415584416,17.532467532467532,21.2987012987013,False,False,False
gqm:77000:B1:1,GQM,B1,77000,1,31,1,True,77000.0,77000.0,77000.0,1390.0,1390.0,1390.0,2050.0,213.2,213.2,213.2,2.1319999999999997,2.1319999999999997,2.1319999999999997,100.0,100.0,100.0,True,False,False
gqm:77000:B1:10,GQM,B1,77000,10,32,1,True,77000.0,77000.0,77000.0,1360.0,1360.0,1360.0,2180.0,162.39999999999998,162.39999999999998,162.39999999999998,1.6239999999999997,1.6239999999999997,1.6239999999999997,100.0,100.0,100.0,True,False,False
gqm:77000:B1:100,GQM,B1,77000,100,33,1,True,77000.0,77000.0,77000.0,2290.0,2290.0,2290.0,2380.0,157.1,157.1,157.1,1.571,1.571,1.571,100.0,100.0,100.0,True,True,False
gqm:77000:B1:1000,GQM,B1,77000,1000,34,1,True,77000.0,77000.0,77000.0,2330.0,2330.0,2330.0,2410.0,157.3,157.3,157.3,1.5730000000000002,1.5730000000000002,1.5730000000000002,100.0,100.0,100.0,True,False,False
gqm:77000:B1:10000,GQM,B1,77000,10000,35,1,True,12400.0,12400.0,12400.0,10470.0,10470.0,10470.0,20500.0,26.8,26.8,26.8,0.268,0.268,0.268,16.103896103896105,16.103896103896105,16.103896103896105,False,False,False
gqm:77000:B16:1,GQM,B16,77000,1,36,1,True,77000.0,77000.0,77000.0,1390.0,1390.0,1390.0,2050.0,224.1,224.1,224.1,2.241,2.241,2.241,100.0,100.0,100.0,True,False,False
gqm:77000:B16:10,GQM,B16,77000,10,37,1,True,77000.0,77000.0,77000.0,1350.0,1350.0,1350.0,1890.0,166.1,166.1,166.1,1.661,1.661,1.661,100.0,100.0,100.0,True,False,False
gqm:77000:B16:100,GQM,B16,77000,100,38,1,True,77000.0,77000.0,77000.0,1320.0,1320.0,1320.0,2210.0,159.9,159.9,159.9,1.599,1.599,1.599,100.0,100.0,100.0,True,False,False
gqm:77000:B16:1000,GQM,B16,77000,1000,39,1,True,77000.0,77000.0,77000.0,1320.0,1320.0,1320.0,2340.0,159.8,159.8,159.8,1.598,1.598,1.598,100.0,100.0,100.0,True,True,False
gqm:77000:B16:10000,GQM,B16,77000,10000,40,1,True,12500.0,12500.0,12500.0,10480.0,10480.0,10480.0,20300.0,27.6,27.6,27.6,0.276,0.276,0.276,16.233766233766232,16.233766233766232,16.233766233766232,False,False,False
gqm:77000:B1024:1,GQM,B1024,77000,1,46,1,True,77000.0,77000.0,77000.0,30.0,30.0,30.0,90.0,757.5,757.5,757.5,7.575,7.575,7.575,100.0,100.0,100.0,True,False,False
gqm:77000:B1024:10,GQM,B1024,77000,10,47,1,True,77000.0,77000.0,77000.0,30.0,30.0,30.0,90.0,880.9000000000001,880.9000000000001,880.9000000000001,8.809000000000001,8.809000000000001,8.809000000000001,100.0,100.0,100.0,True,False,False
gqm:77000:B1024:100,GQM,B1024,77000,100,48,1,True,77000.0,77000.0,77000.0,30.0,30.0,30.0,170.0,807.9,807.9,807.9,8.079,8.079,8.079,100.0,100.0,100.0,True,False,False
gqm:77000:B1024:1000,GQM,B1024,77000,1000,49,1,True,77000.0,77000.0,77000.0,30.0,30.0,30.0,1780.0,693.1,693.1,693.1,6.931,6.931,6.931,100.0,100.0,100.0,True,True,False
gqm:77000:B1024:10000,GQM,B1024,77000,10000,50,1,True,53700.0,53700.0,53700.0,11290.0,11290.0,11290.0,12040.0,296.3,296.3,296.3,2.963,2.963,2.963,69.74025974025975,69.74025974025975,69.74025974025975,False,False,False
socket:77000,Socket,Socket,77000,,2,1,True,77000.0,77000.0,77000.0,250.0,250.0,250.0,400.0,211.7,211.7,211.7,2.117,2.117,2.117,100.0,100.0,100.0,True,True,False
gqm:192500:B0/256 duplicate:1,GQM,B0/256 duplicate,192500,1,51;66,2,True,192500.0,192500.0,192500.0,65.0,60.0,70.0,490.0,818.6500000000001,806.6,830.7,8.1865,8.066,8.307,100.0,100.0,100.0,True,False,False
gqm:192500:B0/256 duplicate:10,GQM,B0/256 duplicate,192500,10,52;67,2,True,192500.0,192500.0,192500.0,65.0,60.0,70.0,540.0,802.7,796.5,808.9000000000001,8.027000000000001,7.965,8.089,100.0,100.0,100.0,True,True,False
gqm:192500:B0/256 duplicate:100,GQM,B0/256 duplicate,192500,100,53;68,2,True,192400.0,192400.0,192400.0,120.0,120.0,120.0,815.0,810.2,803.9,816.5,8.102,8.039,8.165,99.94805194805195,99.94805194805195,99.94805194805195,True,False,False
gqm:192500:B0/256 duplicate:1000,GQM,B0/256 duplicate,192500,1000,54;69,2,True,182250.0,180800.0,183700.0,1535.0,1520.0,1550.0,2320.0,578.4,577.3,579.5,5.784,5.773,5.795,94.67532467532467,93.92207792207792,95.42857142857143,False,False,False
gqm:192500:B0/256 duplicate:10000,GQM,B0/256 duplicate,192500,10000,55;70,2,True,26750.0,24600.0,28900.0,11290.0,11270.0,11310.0,20525.0,90.9,87.0,94.8,0.909,0.87,0.948,13.896103896103895,12.779220779220779,15.012987012987013,False,False,False
gqm:192500:B1:1,GQM,B1,192500,1,56,1,True,171200.0,171200.0,171200.0,1420.0,1420.0,1420.0,1960.0,395.6,395.6,395.6,3.9560000000000004,3.9560000000000004,3.9560000000000004,88.93506493506493,88.93506493506493,88.93506493506493,False,False,False
gqm:192500:B1:10,GQM,B1,192500,10,57,1,True,110300.0,110300.0,110300.0,1410.0,1410.0,1410.0,2110.0,221.2,221.2,221.2,2.2119999999999997,2.2119999999999997,2.2119999999999997,57.298701298701296,57.298701298701296,57.298701298701296,False,False,False
gqm:192500:B1:100,GQM,B1,192500,100,58,1,True,102500.0,102500.0,102500.0,2290.0,2290.0,2290.0,2390.0,200.7,200.7,200.7,2.0069999999999997,2.0069999999999997,2.0069999999999997,53.246753246753244,53.246753246753244,53.246753246753244,False,False,False
gqm:192500:B1:1000,GQM,B1,192500,1000,59,1,True,101100.0,101100.0,101100.0,2330.0,2330.0,2330.0,2400.0,191.3,191.3,191.3,1.913,1.913,1.913,52.51948051948052,52.51948051948052,52.51948051948052,False,False,False
gqm:192500:B1:10000,GQM,B1,192500,10000,60,1,True,12400.0,12400.0,12400.0,10470.0,10470.0,10470.0,20480.0,26.8,26.8,26.8,0.268,0.268,0.268,6.441558441558442,6.441558441558442,6.441558441558442,False,False,False
gqm:192500:B16:1,GQM,B16,192500,1,61,1,True,173900.0,173900.0,173900.0,1380.0,1380.0,1380.0,1950.0,415.2,415.2,415.2,4.152,4.152,4.152,90.33766233766234,90.33766233766234,90.33766233766234,False,False,False
gqm:192500:B16:10,GQM,B16,192500,10,62,1,True,109000.0,109000.0,109000.0,1370.0,1370.0,1370.0,2020.0,219.1,219.1,219.1,2.191,2.191,2.191,56.62337662337662,56.62337662337662,56.62337662337662,False,False,False
gqm:192500:B16:100,GQM,B16,192500,100,63,1,True,108300.0,108300.0,108300.0,1710.0,1710.0,1710.0,2220.0,213.0,213.0,213.0,2.13,2.13,2.13,56.25974025974026,56.25974025974026,56.25974025974026,False,False,False
gqm:192500:B16:1000,GQM,B16,192500,1000,64,1,True,105500.0,105500.0,105500.0,1430.0,1430.0,1430.0,2350.0,205.4,205.4,205.4,2.0540000000000003,2.0540000000000003,2.0540000000000003,54.8051948051948,54.8051948051948,54.8051948051948,False,False,False
gqm:192500:B16:10000,GQM,B16,192500,10000,65,1,True,12400.0,12400.0,12400.0,10490.0,10490.0,10490.0,20510.0,27.8,27.8,27.8,0.278,0.278,0.278,6.441558441558442,6.441558441558442,6.441558441558442,False,False,False
gqm:192500:B1024:1,GQM,B1024,192500,1,71,1,True,192500.0,192500.0,192500.0,60.0,60.0,60.0,490.0,869.5999999999999,869.5999999999999,869.5999999999999,8.696,8.696,8.696,100.0,100.0,100.0,True,False,False
gqm:192500:B1024:10,GQM,B1024,192500,10,72,1,True,192500.0,192500.0,192500.0,50.0,50.0,50.0,460.0,850.0,850.0,850.0,8.5,8.5,8.5,100.0,100.0,100.0,True,True,False
gqm:192500:B1024:100,GQM,B1024,192500,100,73,1,True,192500.0,192500.0,192500.0,60.0,60.0,60.0,480.0,866.8,866.8,866.8,8.668,8.668,8.668,100.0,100.0,100.0,True,False,False
gqm:192500:B1024:1000,GQM,B1024,192500,1000,74,1,True,192500.0,192500.0,192500.0,80.0,80.0,80.0,1740.0,718.3,718.3,718.3,7.183,7.183,7.183,100.0,100.0,100.0,True,True,False
gqm:192500:B1024:10000,GQM,B1024,192500,10000,75,1,True,189800.0,189800.0,189800.0,10790.0,10790.0,10790.0,11430.0,520.9,520.9,520.9,5.209,5.209,5.209,98.59740259740259,98.59740259740259,98.59740259740259,False,False,False
socket:192500,Socket,Socket,192500,,3,1,True,192500.0,192500.0,192500.0,340.0,340.0,340.0,740.0,513.6,513.6,513.6,5.136,5.136,5.136,100.0,100.0,100.0,True,True,False
gqm:385000:B0/256 duplicate:1,GQM,B0/256 duplicate,385000,1,76;91,2,True,384200.0,384100.0,384300.0,340.0,340.0,340.0,970.0,1157.25,1155.6999999999998,1158.8000000000002,11.5725,11.556999999999999,11.588000000000001,99.79220779220779,99.76623376623377,99.81818181818181,True,False,False
gqm:385000:B0/256 duplicate:10,GQM,B0/256 duplicate,385000,10,77;92,2,True,384000.0,383800.0,384200.0,335.0,330.0,340.0,985.0,1147.4499999999998,1145.7,1149.1999999999998,11.474499999999999,11.457,11.491999999999997,99.74025974025975,99.68831168831169,99.79220779220779,True,True,False
gqm:385000:B0/256 duplicate:100,GQM,B0/256 duplicate,385000,100,78;93,2,True,384000.0,384000.0,384000.0,350.0,350.0,350.0,1025.0,1160.65,1157.7,1163.6,11.6065,11.577,11.636,99.74025974025975,99.74025974025975,99.74025974025975,True,False,False
gqm:385000:B0/256 duplicate:1000,GQM,B0/256 duplicate,385000,1000,79;94,2,True,379100.0,378600.0,379600.0,1320.0,1310.0,1330.0,1965.0,1011.85,1011.7,1012.0,10.118500000000001,10.117,10.12,98.46753246753246,98.33766233766234,98.59740259740259,False,False,False
gqm:385000:B0/256 duplicate:10000,GQM,B0/256 duplicate,385000,10000,80;95,2,True,230950.0,225800.0,236100.0,10615.0,10600.0,10630.0,11295.0,497.84999999999997,485.79999999999995,509.9,4.9785,4.858,5.099,59.98701298701299,58.64935064935065,61.324675324675326,False,False,False
gqm:385000:B1:1,GQM,B1,385000,1,81,1,True,263700.0,263700.0,263700.0,1430.0,1430.0,1430.0,1970.0,577.0,577.0,577.0,5.77,5.77,5.77,68.49350649350649,68.49350649350649,68.49350649350649,False,False,False
gqm:385000:B1:10,GQM,B1,385000,10,82,1,True,117700.0,117700.0,117700.0,1570.0,1570.0,1570.0,1940.0,236.9,236.9,236.9,2.369,2.369,2.369,30.571428571428573,30.571428571428573,30.571428571428573,False,False,False
gqm:385000:B1:100,GQM,B1,385000,100,83,1,True,103000.0,103000.0,103000.0,2290.0,2290.0,2290.0,2380.0,195.8,195.8,195.8,1.9580000000000002,1.9580000000000002,1.9580000000000002,26.753246753246753,26.753246753246753,26.753246753246753,False,False,False
gqm:385000:B1:1000,GQM,B1,385000,1000,84,1,True,101400.0,101400.0,101400.0,2340.0,2340.0,2340.0,2400.0,193.3,193.3,193.3,1.933,1.933,1.933,26.337662337662337,26.337662337662337,26.337662337662337,False,False,False
gqm:385000:B1:10000,GQM,B1,385000,10000,85,1,True,12300.0,12300.0,12300.0,10730.0,10730.0,10730.0,20490.0,26.6,26.6,26.6,0.266,0.266,0.266,3.1948051948051948,3.1948051948051948,3.1948051948051948,False,False,False
gqm:385000:B16:1,GQM,B16,385000,1,86,1,True,327000.0,327000.0,327000.0,1320.0,1320.0,1320.0,1780.0,826.9,826.9,826.9,8.269,8.269,8.269,84.93506493506493,84.93506493506493,84.93506493506493,False,False,False
gqm:385000:B16:10,GQM,B16,385000,10,87,1,True,119100.0,119100.0,119100.0,1390.0,1390.0,1390.0,1920.0,240.39999999999998,240.39999999999998,240.39999999999998,2.404,2.404,2.404,30.935064935064936,30.935064935064936,30.935064935064936,False,False,False
gqm:385000:B16:100,GQM,B16,385000,100,88,1,True,112500.0,112500.0,112500.0,1710.0,1710.0,1710.0,2120.0,220.4,220.4,220.4,2.204,2.204,2.204,29.22077922077922,29.22077922077922,29.22077922077922,False,False,False
gqm:385000:B16:1000,GQM,B16,385000,1000,89,1,True,106500.0,106500.0,106500.0,1660.0,1660.0,1660.0,2360.0,208.4,208.4,208.4,2.084,2.084,2.084,27.662337662337663,27.662337662337663,27.662337662337663,False,False,False
