source_index,value,concurrency,body_bytes,target_qps,cost_reported,write_cost_ns,cost_multiplier,tps,tp99_us,tp999_us,client_cpu_pct,server_cpu_pct,total_cpu_pct,estimated_used_cores,tps_per_used_core,client_rss_kb,server_rss_kb,retry,status,baseline_tps,baseline_tp99_us,baseline_tp999_us,tps_retention_pct,tp99_amplification,tp999_amplification
25,1432x1432,1,1024,0,0,1432,2.0,74900.0,70.0,110.0,172.9,184.8,357.70000000000005,3.5770000000000004,20939.334637964774,65536,43008,1,OK,78100.0,70.0,110.0,95.90268886043533,1.0,1.0
26,1432x1432,4,1024,0,0,1432,2.0,254000.0,60.0,90.0,535.6,518.2,1053.8000000000002,10.538000000000002,24103.24539760865,96256,38912,1,OK,256500.0,60.0,90.0,99.02534113060429,1.0,1.0
27,1432x1432,16,1024,0,0,1432,2.0,728200.0,50.0,170.0,782.4,765.6,1548.0,15.48,47041.343669250644,239616,49152,1,OK,730300.0,50.0,170.0,99.71244693961386,1.0,1.0
28,1432x1432,64,1024,0,0,1432,2.0,819300.0,190.0,540.0,759.6,844.7,1604.3000000000002,16.043000000000003,51069.002056971876,267264,63488,1,OK,819000.0,190.0,610.0,100.03663003663004,1.0,0.8852459016393442
29,1432x1432,256,1024,0,0,1432,2.0,795100.0,960.0,5380.0,763.2,906.5,1669.7,16.697,47619.332814278016,314368,94208,1,OK,794400.0,970.0,4460.0,100.08811681772407,0.9896907216494846,1.2062780269058295
30,1432x1432,512,1024,0,0,1432,2.0,772800.0,2310.0,12120.0,763.1,925.6,1688.7,16.887,45763.01296855569,384000,144384,1,OK,772000.0,2340.0,11030.0,100.10362694300518,0.9871794871794872,1.098821396192203
31,2864x2864,1,1024,0,0,2864,4.0,57300.0,70.0,120.0,175.1,192.8,367.9,3.679,15574.88447947812,54272,44032,1,OK,78100.0,70.0,110.0,73.3674775928297,1.0,1.0909090909090908
32,2864x2864,4,1024,0,0,2864,4.0,211100.0,60.0,100.0,544.6,535.4,1080.0,10.8,19546.296296296296,86016,41984,1,OK,256500.0,60.0,90.0,82.30019493177387,1.0,1.1111111111111112
33,2864x2864,16,1024,0,0,2864,4.0,638700.0,50.0,160.0,789.8,755.7,1545.5,15.455,41326.431575541894,211968,48128,1,OK,730300.0,50.0,170.0,87.45720936601397,1.0,0.9411764705882353
34,2864x2864,64,1024,0,0,2864,4.0,753600.0,210.0,590.0,759.4,868.2,1627.6,16.276,46301.302531334484,246784,51200,1,OK,819000.0,190.0,610.0,92.01465201465201,1.105263157894737,0.9672131147540983
35,2864x2864,256,1024,0,0,2864,4.0,754800.0,1020.0,4550.0,762.0,941.4,1703.4,17.034000000000002,44311.37724550898,295936,95232,1,OK,794400.0,970.0,4460.0,95.01510574018127,1.0515463917525774,1.0201793721973094
36,2864x2864,512,1024,0,0,2864,4.0,673500.0,2560.0,11650.0,764.3,875.4,1639.6999999999998,16.397,41074.58681466122,345088,137216,1,OK,772000.0,2340.0,11030.0,87.24093264248705,1.0940170940170941,1.056210335448776
37,7160x7160,1,1024,0,0,7160,10.0,36500.0,80.0,120.0,176.6,201.2,377.79999999999995,3.7779999999999996,9661.196400211753,54272,38912,1,OK,78100.0,70.0,110.0,46.73495518565941,1.1428571428571428,1.0909090909090908
38,7160x7160,4,1024,0,0,7160,10.0,130199.99999999999,70.0,110.0,572.9,570.2,1143.1,11.431,11390.079608083282,70656,40960,1,OK,256500.0,60.0,90.0,50.76023391812865,1.1666666666666667,1.2222222222222223
39,7160x7160,16,1024,0,0,7160,10.0,488500.0,70.0,170.0,793.8,897.9,1691.6999999999998,16.916999999999998,28876.27829993498,192512,49152,1,OK,730300.0,50.0,170.0,66.890319046967,1.4,1.0
40,7160x7160,64,1024,0,0,7160,10.0,545500.0,290.0,950.0,793.4,898.9,1692.3,16.923,32234.23742835195,195584,55296,1,OK,819000.0,190.0,610.0,66.6056166056166,1.5263157894736843,1.5573770491803278
41,7160x7160,256,1024,0,0,7160,10.0,404300.0,1780.0,5370.0,797.5,935.2,1732.7,17.327,23333.525711317594,224256,93184,1,OK,794400.0,970.0,4460.0,50.893756294058406,1.8350515463917525,1.204035874439462
42,7160x7160,512,1024,0,0,7160,10.0,532500.0,2960.0,12730.0,796.1,972.2,1768.3000000000002,17.683000000000003,30113.668495164842,332800,137216,1,OK,772000.0,2340.0,11030.0,68.97668393782384,1.264957264957265,1.1541251133272892
