source_index,value,concurrency,payload_bytes,target_qps,cost_reported,tps,tp99_us,tp999_us,client_cpu_pct,server_cpu_pct,total_cpu_pct,estimated_used_cores,tps_per_used_core,client_rss_kb,server_rss_kb,retry,status,payload_peak_tps,payload_peak_concurrency,tps_vs_payload_peak_pct,tps_retention_vs_zero_payload_pct,tp99_amplification_vs_c64,tp999_amplification_vs_c64,tps_gain_vs_previous_concurrency_pct,tp99_change_vs_previous_concurrency_pct
19,168 × 1,1,168,0,0,82700.0,70.0,110.0,170.5,173.6,344.1,3.4410000000000003,24033.71113048532,60416,40960,1,OK,884100.0,128,9.354145458658524,88.07241746538871,0.4117647058823529,0.21153846153846154,,
20,168 × 4,4,168,0,0,269000.0,60.0,80.0,525.9,499.5,1025.4,10.254000000000001,26233.66491125414,95232,47104,1,OK,884100.0,128,30.42642235041285,88.89623265036352,0.35294117647058826,0.15384615384615385,225.2720677146312,-14.28571428571429
21,168 × 16,16,168,0,0,766700.0,50.0,180.0,776.5,698.1,1474.6,14.745999999999999,51993.761019937614,247808,49152,1,OK,884100.0,128,86.72095916751499,91.93045563549161,0.29411764705882354,0.34615384615384615,185.01858736059478,-16.666666666666664
22,168 × 64,64,168,0,0,882200.0,170.0,520.0,761.0,745.0,1506.0,15.06,58579.017264276226,266240,58368,1,OK,884100.0,128,99.78509218414206,92.24173985780008,1.0,1.0,15.064562410329984,240.0
23,168 × 128,128,168,0,0,884100.0,360.0,1150.0,761.3,744.7,1506.0,15.06,58705.17928286852,312320,68608,1,OK,884100.0,128,100.0,91.39873875736586,2.1176470588235294,2.2115384615384617,0.21537066424845985,111.76470588235294
24,168 × 256,256,168,0,0,870200.0,830.0,3370.0,759.4,741.6,1501.0,15.01,57974.6835443038,314368,96256,1,OK,884100.0,128,98.42777966293406,89.62818003913894,4.882352941176471,6.480769230769231,-1.5722203370659438,130.55555555555554
25,168 × 512,512,168,0,0,843900.0,1900.0,8770.0,756.6,749.8,1506.4,15.064,56020.97716409984,380928,145408,1,OK,884100.0,128,95.45300305395317,89.94883820081006,11.176470588235293,16.865384615384617,-3.0222937255803273,128.91566265060243
26,168 × 1024,1024,168,0,0,822900.0,3700.0,11370.0,757.2,749.6,1506.8000000000002,15.068000000000001,54612.42367932041,551936,232448,1,OK,884100.0,128,93.07770614183916,88.47435759595743,21.764705882352942,21.865384615384617,-2.4884464984002874,94.73684210526316
27,168 × 2048,2048,168,0,0,780900.0,13190.0,31520.0,755.5,770.8,1526.3,15.263,51162.94306492826,985088,487424,1,OK,884100.0,128,88.32711231761112,90.12117714945182,77.58823529411765,60.61538461538461,-5.103900838497999,256.48648648648646
28,335 × 1,1,335,0,0,81600.0,70.0,110.0,170.0,174.3,344.3,3.443,23700.26139994191,62464,43008,1,OK,869300.0,64,9.38686299321293,86.90095846645367,0.4117647058823529,0.1896551724137931,,
29,335 × 4,4,335,0,0,266800.0,60.0,80.0,527.6,500.7,1028.3,10.283,25945.735680248956,95232,45056,1,OK,869300.0,64,30.691360865063846,88.16920026437542,0.35294117647058826,0.13793103448275862,226.96078431372547,-14.28571428571429
30,335 × 16,16,335,0,0,759600.0,60.0,180.0,777.6,699.6,1477.2,14.772,51421.60844841592,236544,52224,1,OK,869300.0,64,87.38065109858506,91.07913669064749,0.35294117647058826,0.3103448275862069,184.70764617691154,0.0
31,335 × 64,64,335,0,0,869300.0,170.0,580.0,760.2,744.6,1504.8000000000002,15.048000000000002,57768.47421584263,291840,50176,1,OK,869300.0,64,100.0,90.89293182768716,1.0,1.0,14.441811479726162,183.33333333333334
32,335 × 128,128,335,0,0,866500.0,380.0,1190.0,759.6,745.8,1505.4,15.054,57559.45263717284,293888,68608,1,OK,869300.0,64,99.67790176003682,89.57924118680864,2.235294117647059,2.0517241379310347,-0.32209823996318665,123.52941176470588
33,335 × 256,256,335,0,0,845000.0,900.0,4050.0,756.6,745.9,1502.5,15.025,56239.6006655574,313344,98304,1,OK,869300.0,64,97.20464741746233,87.0326501184468,5.294117647058823,6.982758620689655,-2.4812463935372175,136.84210526315786
34,335 × 512,512,335,0,0,814100.0,2180.0,7990.0,754.7,749.2,1503.9,15.039000000000001,54132.58860296562,389120,151552,1,OK,869300.0,64,93.65006326929714,86.77254316776806,12.823529411764707,13.775862068965518,-3.6568047337278142,142.2222222222222
35,335 × 1024,1024,335,0,0,796300.0,4230.0,15740.0,754.5,751.3,1505.8,15.058,52882.188869703816,578560,232448,1,OK,869300.0,64,91.60243874381686,85.61445005913343,24.88235294117647,27.137931034482758,-2.186463579412845,94.03669724770643
36,335 × 2048,2048,335,0,0,749500.0,14260.0,29370.0,756.1,766.3,1522.4,15.224,49231.47661586968,1027072,528384,1,OK,869300.0,64,86.21879673300357,86.49740334679746,83.88235294117646,50.63793103448276,-5.877181966595502,237.11583924349884
37,670 × 1,1,670,0,0,89200.0,70.0,110.0,170.0,171.8,341.8,3.418,26097.132826214158,65536,44032,1,OK,885200.0,64,10.076818798011749,94.99467518636848,0.3888888888888889,0.1506849315068493,,
38,670 × 4,4,670,0,0,286200.0,60.0,90.0,531.0,501.1,1032.1,10.321,27729.87113651778,105472,47104,1,OK,885200.0,64,32.33167645729779,94.58030403172505,0.3333333333333333,0.1232876712328767,220.85201793721973,-14.28571428571429
39,670 × 16,16,670,0,0,779800.0,70.0,230.0,740.0,690.0,1430.0,14.3,54531.46853146853,252928,47104,1,OK,885200.0,64,88.09308630817894,93.50119904076739,0.3888888888888889,0.3150684931506849,172.4668064290706,16.666666666666675
40,670 × 64,64,670,0,0,885200.0,180.0,730.0,756.7,741.3,1498.0,14.98,59092.12283044059,269312,62464,1,OK,885200.0,64,100.0,92.55541614387286,1.0,1.0,13.51628622723775,157.14285714285717
41,670 × 128,128,670,0,0,872100.0,420.0,1550.0,755.2,747.3,1502.5,15.025,58043.2612312812,272384,72704,1,OK,885200.0,64,98.52010845006778,90.15817223198594,2.3333333333333335,2.1232876712328768,-1.4798915499322218,133.33333333333334
42,670 × 256,256,670,0,0,834200.0,1200.0,4260.0,751.5,746.4,1497.9,14.979000000000001,55691.30115495026,318464,95232,1,OK,885200.0,64,94.23859014911885,85.92028015243588,6.666666666666667,5.835616438356165,-4.345831900011465,185.71428571428572
43,670 × 512,512,670,0,0,794900.0,3500.0,11420.0,746.2,747.3,1493.5,14.935,53223.970539002345,374784,144384,1,OK,885200.0,64,89.79891549932219,84.72607120017054,19.444444444444443,15.643835616438356,-4.7111004555262515,191.66666666666666
44,670 × 1024,1024,670,0,0,759400.0,7120.0,21070.0,744.0,752.2,1496.2,14.962,50755.24662478278,533504,249856,1,OK,885200.0,64,85.78852236782647,81.64713471669712,39.55555555555556,28.863013698630137,-4.465970562334887,103.42857142857143
45,670 × 2048,2048,670,0,0,709600.0,16720.0,34840.0,750.1,759.3,1509.4,15.094000000000001,47012.05777129985,972800,580608,1,OK,885200.0,64,80.16267510167194,81.89267166762839,92.88888888888889,47.726027397260275,-6.55780879641823,134.8314606741573
46,1340 × 1,1,1340,0,0,78400.0,70.0,110.0,172.0,177.2,349.2,3.492,22451.31729667812,61440,40960,1,OK,787000.0,64,9.961880559085133,83.49307774227903,0.3333333333333333,0.12359550561797752,,
47,1340 × 4,4,1340,0,0,251600.0,60.0,90.0,537.4,509.5,1046.9,10.469000000000001,24032.858916801983,97280,45056,1,OK,787000.0,64,31.969504447268108,83.14606741573034,0.2857142857142857,0.10112359550561797,220.91836734693877,-14.28571428571429
48,1340 × 16,16,1340,0,0,701900.0,70.0,240.0,776.5,705.7,1482.2,14.822000000000001,47355.28268789637,223232,49152,1,OK,787000.0,64,89.18678526048285,84.16067146282974,0.3333333333333333,0.2696629213483146,178.97456279809222,16.666666666666675
49,1340 × 64,64,1340,0,0,787000.0,210.0,890.0,756.3,745.5,1501.8,15.017999999999999,52403.782128112936,260096,58368,1,OK,787000.0,64,100.0,82.28774571309076,1.0,1.0,12.124234221399055,200.0
50,1340 × 128,128,1340,0,0,771700.0,540.0,1670.0,752.6,747.2,1499.8000000000002,14.998000000000001,51453.52713695159,265216,75776,1,OK,787000.0,64,98.0559085133418,79.77876563630724,2.5714285714285716,1.8764044943820224,-1.9440914866581949,157.14285714285717
51,1340 × 256,256,1340,0,0,726500.0,1650.0,4510.0,747.4,749.3,1496.6999999999998,14.966999999999999,48540.12160085522,279552,99328,1,OK,787000.0,64,92.3125794155019,74.82747965804923,7.857142857142857,5.067415730337078,-5.857198393157958,205.55555555555554
