source_index,value,target_qps,idle_enabled,sleep_us,bud,reported_sustain_pct,achieved_qps,p50_us,p99_us,p999_us,max_us,send_lag_p99_us,scheduled,dispatched,completed,shed,client_cpu_user_pct,client_cpu_sys_pct,client_cpu_pct,server_cpu_user_pct,server_cpu_sys_pct,server_cpu_pct,client_rss_kb,server_rss_kb,retry,status,total_cpu_pct,used_cores,quota_occupancy_pct,qps_per_used_core,target_sustained
25,16000 × Truex10xTruex10 × 0x0,16000,True,10,0,100,16100,64.2,173.5,197.8,1100,99.1,241368,241368,241368,0,70.4,62.9,133.3,13.9,39.5,53.4,235548,19084,1,✅,186.7,1.867,15.5583333333,8623.46009641,True
26,16000 × Truex10xTruex10 × 1x1,16000,True,10,1,100,16100,70.5,189.8,203.8,1300,100.5,241368,241368,241368,0,66.7,62.5,129.2,13.7,39.4,53.1,268184,19084,1,✅,182.3,1.823,15.1916666667,8831.59626988,True
27,16000 × Truex10xTruex10 × 16x16,16000,True,10,16,100,16100,63.9,180.5,199,1100,100,241372,241372,241372,0,226.2,104.8,330.9,104.5,50.1,154.6,254148,19076,1,✅,485.5,4.855,40.4583333333,3316.16889804,True
28,16000 × Truex10xTruex10 × 256x256,16000,True,10,256,100,16100,54.4,261.2,403.4,800,458.9,241370,241370,241370,0,295.6,100.7,396.3,247.7,87.7,335.4,252596,19072,1,✅,731.7,7.317,60.975,2200.35533689,True
29,16000 × Truex100xTruex100 × 0x0,16000,True,100,0,100,16100,152,292.3,301.1,1200,99.4,241369,241369,241369,0,41.8,12.4,54.3,7.6,4.5,12.1,299500,19088,1,✅,66.4,0.664,5.53333333333,24246.9879518,True
30,16000 × Truex100xTruex100 × 1x1,16000,True,100,1,100,16100,157.1,296.6,376.6,1200,99.2,241368,241368,241368,0,42.2,12.1,54.3,8.5,4.5,13,252428,19084,1,✅,67.3,0.673,5.60833333333,23922.7340267,True
31,16000 × Truex100xTruex100 × 16x16,16000,True,100,16,100,16100,146.8,288.7,313.2,1000,99,241372,241372,241372,0,76.7,21.9,98.7,21.2,9.7,30.9,239300,19088,1,✅,129.6,1.296,10.8,12422.8395062,True
32,16000 × Truex100xTruex100 × 256x256,16000,True,100,256,100,16100,93.7,411.5,576.9,1000,839.3,241371,241371,241371,0,295.6,99.8,395.5,143.3,48.7,192.1,260152,19088,1,✅,587.6,5.876,48.9666666667,2739.95915589,True
33,40000 × Falsex0xFalsex0 × 0x0,40000,False,0,0,100,40200,1444,2462,2727,8800,11717,602837,602837,602837,0,292.5,106.8,399.3,273.7,95.3,369,262744,19076,1,✅,768.3,7.683,64.025,5232.33112066,True
34,40000 × Falsex0xFalsex0 × 1x1,40000,False,0,1,99.2,39900,1411,2395,13023,21600,17599,602912,597955,597955,4957,284.5,111.5,395.9,272,97,369,238992,19088,1,✅,764.9,7.649,63.7416666667,5216.3681527,False
35,40000 × Falsex0xFalsex0 × 16x16,40000,False,0,16,100,40200,1205,2492,3063,9200,11812,602833,602833,602833,0,292.8,106.5,399.3,272.1,96.8,368.9,284400,19084,1,✅,768.2,7.682,64.0166666667,5233.0122364,True
36,40000 × Falsex0xFalsex0 × 256x256,40000,False,0,256,100,40200,1201,2593,4279,11900,12295,602946,602946,602946,0,288.6,110.6,399.1,272.7,96.2,368.9,271064,19088,1,✅,768,7.68,64,5234.375,True
37,40000 × Truex1xTruex1 × 0x0,40000,True,1,0,100,40200,77.7,264,1095,3400,99.4,603040,603040,603040,0,71.4,239.4,310.9,69.7,126.3,195.9,242608,19080,1,✅,506.8,5.068,42.2333333333,7932.12312549,True
38,40000 × Truex1xTruex1 × 1x1,40000,True,1,1,100,40200,74.8,248.5,1738,4100,99.5,603040,603040,603040,0,71.1,239.4,310.5,74.1,121.7,195.9,274320,19084,1,✅,506.4,5.064,42.2,7938.38862559,True
